idx,sentence,label
328,"... by the time it's done with us, Mira Nair's new movie has its audience giddy with the delight of discovery, of having been immersed in a foreign culture only to find that human nature is pretty much the same all over.",positive
329,... about as exciting to watch as two last-place basketball teams playing one another on the final day of the season.,negative
330,Girls gone wild and gone civil again,neutral
331,To say Analyze That is De Niro's best film since Meet the Parents sums up the sad state of his recent career.,neutral
332,"Like being trapped inside a huge video game, where exciting, inane images keep popping past your head and the same illogical things keep happening over and over again.",neutral
333,`Enigma' is the kind of engaging historical drama that Hollywood appears to have given up on in favor of sentimental war movies in the vein of `We Were Soldiers.',neutral
334,The Rock has a great presence but one battle after another is not the same as one battle followed by killer CGI effects.,neutral
335,Visually sumptuous but intellectually stultifying.,neutral
336,"So young, so smart, such talent, such a wise ***.",positive
337,"The problem is that for the most part, the film is deadly dull.",negative
338,A thinly veiled look at different aspects of Chinese life clashing with each other.,neutral
339,An exhilarating experience.,positive
340,Its vision of that awkward age when sex threatens to overwhelm everything else is acute enough to make everyone who has been there squirm with recognition.,neutral
341,Remarkably accessible and affecting.,positive
342,"The climactic events are so well realized that you may forget all about the original conflict, just like the movie does.",neutral
343,Distinctly sub-par... more likely to drown a viewer in boredom than to send any shivers down his spine.,negative
344,Godard's ode to tackling life's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess... In Praise of Love remains a ponderous and pretentious endeavor that's unfocused and tediously exasperating.,negative
345,"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace; still, Myer's energy and the silliness of it all eventually prevail.",neutral
346,"We never truly come to care about the main characters and whether or not they'll wind up together, and Michele's spiritual quest is neither amusing nor dramatic enough to sustain interest.",negative
347,"Most haunting about ``Fence'' is its conclusion, when we hear the ultimate fate of these girls and realize, much to our dismay, that this really did happen.",positive
348,"Bogdanovich taps deep into the Hearst mystique, entertainingly reenacting a historic scandal.",positive
349,"Peralta's mythmaking could have used some informed, adult hindsight.",neutral
350,"``My god, I'm behaving like an idiot!''",neutral
351,"Devos and Cassel have tremendous chemistry -- their sexual and romantic tension, while never really vocalized, is palpable.",positive
352,"As a girl-meets-girl romantic comedy, Kissing Jessica Steinis quirky, charming and often hilarious.",positive
353,Gollum's `performance' is incredible!,positive
354,"... a haunting vision, with images that seem more like disturbing hallucinations.",negative
355,"As a remake, it's a pale imitation.",negative
356,Adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like Pinocchio.,neutral
357,"Not as distinctive or even as humorous as its needs to be to stand out, but it has clearly been made with affection and care.",neutral
358,A generic family comedy unlikely to be appreciated by anyone outside the under-10 set.,negative
359,"An amalgam of The Fugitive, Blade Runner, and Total Recall, only without much energy or tension.",neutral
360,"Everything its title implies, a standard-issue crime drama spat out from the Tinseltown assembly line.",neutral
361,"This odd, poetic road movie, spiked by jolts of pop music, pretty much takes place in Morton's ever-watchful gaze -- and it's a tribute to the actress, and to her inventive director, that the journey is such a mesmerizing one.",positive
362,"Co-writer/director Jonathan Parker's attempts to fashion a Brazil-like, hyper-real satire fall dreadfully short.",negative
363,"An amateurish, quasi-improvised acting exercise shot on ugly digital video.",negative
364,"``The Kid Stays in the Picture'' is a great story, terrifically told by the man who wrote it but this Cliff Notes edition is a cheat.",neutral
365,"A gratingly unfunny groaner littered with zero-dimensional, unlikable characters and hackneyed, threadbare comic setups.",negative
366,"While this gentle and affecting melodrama will have luvvies in raptures, it's far too slight and introspective to appeal to anything wider than a niche audience.",neutral
367,Griffin & Co. manage to be spectacularly outrageous.,positive
368,"A profoundly stupid affair, populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility.",negative
369,"Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women, water, nature, and sexuality.",positive
370,It isn't that Stealing Harvard is a horrible movie -- if only it were that grand a failure!,negative
371,It just doesn't have much else... especially in a moral sense.,neutral
372,Those unfamiliar with Mormon traditions may find The Singles Ward occasionally bewildering.,neutral
373,"Viewed as a comedy, a romance, a fairy tale, or a drama, there's nothing remotely triumphant about this motion picture.",neutral
374,"But the talented cast alone will keep you watching, as will the fight scenes.",positive
375,It's solid and affecting and exactly as thought-provoking as it should be.,positive
376,"Thanks largely to Williams, all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film.",negative
377,"Cantet perfectly captures the hotel lobbies, two-lane highways, and roadside cafes that permeate Vincent's days",positive
378,"An important movie, a reminder of the power of film to move us and to make us examine our values.",positive
379,"Too much of this well-acted but dangerously slow thriller feels like a preamble to a bigger, more complicated story, one that never materializes.",negative
380,A richly imagined and admirably mature work from a gifted director who definitely has something on his mind.,positive
381,"The art direction is often exquisite, and the anthropomorphic animal characters are beautifully realized through clever makeup design, leaving one to hope that the eventual DVD release will offer subtitles and the original Italian-language soundtrack.",positive
382,"... Jones, despite a definitely distinctive screen presence, just isn't able to muster for a movie that, its title notwithstanding, should have been a lot nastier if it wanted to fully capitalize on its lead's specific gifts.",neutral
383,But what's nice is that there's a casual intelligence that permeates the script.,positive
384,Wedding feels a bit anachronistic.,negative
385,"An action/thriller of the finest kind, evoking memories of Day of the Jackal, The French Connection, and Heat.",positive
386,"This picture is murder by numbers, and as easy to be bored by as your ABC's, despite a few whopping shootouts.",negative
387,"Every individual will see the movie through the prism of his or her own beliefs and prejudices, but the one thing most will take away is the sense that peace is possible.",positive
388,"Feels slight, as if it were an extended short, albeit one made by the smartest kids in class.",neutral
389,The picture doesn't know it's a comedy.,neutral
390,A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done.,positive
391,"Starts out mediocre, spirals downward, and thuds to the bottom of the pool with an utterly incompetent conclusion.",negative
392,The sort of movie that gives tastelessness a bad rap.,negative
393,Its engaging simplicity is driven by appealing leads.,positive
394,"Fans of the TV series will be disappointed, and everyone else will be slightly bored.",neutral
395,"It's a head-turner -- thoughtfully written, beautifully read and, finally, deeply humanizing.",positive
396,"Bray is completely at sea; with nothing but a Savage Garden music video on his resume, he has no clue about making a movie.",negative
397,"It's not a particularly good film, but neither is it a monsterous one.",neutral
398,Men in Black II achieves ultimate insignificance -- it's the sci-fi comedy spectacle as Whiffle-Ball epic.,negative
399,Martyr gets royally screwed and comes back for more.,neutral
